start,goal,length,capacity,street,n_direction,hodou,width,cross_node,from_,to_
541,1008,69.651,241.7108154,市道1390号線,2,1,4.081638455,0,90,193
541,538,92.221,403.8826298,市道1390号線,2,1,4.679608766,0,90,89
546,753,36.514,1192.0,市道1237号線,1,1,4.2,0,91,131
546,562,144.181,1192.0,市道1235号線,1,1,4.6,0,91,95
546,942,298.82,436.6548424,市道1237号線,2,1,4.788849475,0,91,168
546,127,103.175,1669.0,市道1235号線,2,1,7.5,0,91,26
547,755,50.662,500.0,市道1399号線,2,0,5.0,0,92,133
547,538,118.036,1509.0,市道1390号線,2,1,5.7,0,92,89
547,979,131.295,388.1297841,市道1399号線,2,1,4.527659088,0,92,175
549,1166,30.582,1750.0,県道39号線_11,2,1,6.9,1,93,208
549,764,51.896,1750.0,県道39号線_12,2,1,6.9,1,93,140
549,1174,107.39,1642.788621,市道1206号線,2,1,6.437886209,0,93,213
550,982,154.654,1750.0,市道9号線_1,2,0,10.1,1,94,177
550,98,211.434,1857.75171,市道9号線_2,2,0,10.1,1,94,15
644,562,460.247,1743.50049,県道15号線_12,2,0,9.974970831,1,106,95
411,909,68.517,1750.0,県道15号線_13,2,0,10.0,1,72,162
415,411,598.653,12548.00452,国道254号線,2,0,24.0,1,73,72
562,644,460.247,1743.50049,県道15号線_13,2,0,9.974970831,1,95,106
563,1276,44.419,1708.0,市道5号線_2,2,0,6.3,1,96,242
644,909,11.286,1750.0,県道15号線_13,2,0,10.0,1,106,162
564,1187,95.724,1035.0,市道1212号線,1,1,2.7,0,97,220
909,644,11.286,1750.0,県道15号線_13,2,0,10.0,1,162,106
565,1447,113.332,1669.0,市道1342号線,1,1,7.5,0,98,271
909,411,68.517,1750.0,県道15号線_13,2,0,10.0,1,162,72
565,206,110.967,1669.0,市道1210号線,2,1,7.7,0,98,40
196,10,518.341,1750.0,県道15号線_2,2,0,6.023064967,1,34,4
10,1151,58.187,1750.0,県道15号線_3,2,0,9.0,1,4,197
673,1151,65.819,1750.0,県道15号線_3,2,0,9.0,1,111,197
570,1435,173.628,1092.0,市道1308号線,1,1,2.9,0,99,268
595,609,139.457,200.0,市道1237号線,2,1,4.0,0,100,102
595,960,47.878,200.0,市道1237号線,2,1,4.0,0,100,170
595,1335,159.083,782.7594463,市道1229号線,2,1,4.991762162,0,100,251
604,185,219.723,1669.0,市道1320号線,2,1,7.2,0,101,32
604,97,133.395,1669.0,県道246号線_1,2,1,7.5,1,101,14
604,8,228.252,1645.0,市道8号線_3,2,0,6.0,1,101,3
609,595,139.457,200.0,市道1237号線,2,1,4.0,0,102,100
609,410,129.093,230.0,市道1251号線,2,1,4.1,0,102,71
609,409,81.376,230.0,市道1251号線,2,1,4.1,0,102,70
611,1227,111.183,200.0,市道1132号線,2,1,4.0,0,103,232
611,383,108.066,200.0,市道1132号線,2,1,4.0,0,103,68
611,379,178.02,620.0,市道1136号線,2,1,5.4,0,103,66
611,382,182.592,620.0,市道1136号線,2,1,5.4,0,103,67
624,759,229.747,350.0,市道1225号線,2,1,4.5,0,104,135
624,757,74.709,350.0,市道1225号線,2,1,4.5,0,104,134
1151,10,58.187,1750.0,県道15号線_3,2,0,9.0,1,197,4
634,127,53.925,1192.0,市道2号線,1,1,4.5,0,105,26
634,813,50.243,1569.0,市道1401号線,1,1,6.0,0,105,145
1151,673,65.819,1750.0,県道15号線_3,2,0,9.0,1,197,111
102,570,82.807,1750.0,県道15号線_4,2,0,9.0,1,16,99
644,986,89.903,347.5490251,市道1250号線,2,1,4.491830084,0,106,179
570,673,68.672,1750.0,県道15号線_4,2,0,9.0,1,99,111
645,729,105.501,1669.0,市道1414号線,1,1,7.0,0,107,122
645,411,42.095,650.0,市道1454号線,2,1,5.5,0,107,72
